ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status
1.0,Tamil Nadu,Chennai,Locality_84,Property_Type,1.0,4740.0,489.76,0.1,1990.0,Furnished,22.0,1.0,35.0,10.0,3.0,High,No,No,"Playground, Gym, Garden, Pool, Clubhouse",West,Owner,Ready_to_Move
2.0,Maharashtra,Pune,Locality_490,Property_Type,3.0,2364.0,195.52,0.08,2008.0,Unfurnished,21.0,20.0,17.0,8.0,1.0,Low,No,Yes,"Playground, Clubhouse, Pool, Gym, Garden",North,Builder,Under_Construction
3.0,Punjab,Ludhiana,Locality_167,Property_Type,2.0,3642.0,183.79,0.05,1997.0,Semi-furnished,19.0,27.0,28.0,9.0,8.0,Low,Yes,No,"Clubhouse, Pool, Playground, Gym",South,Broker,Ready_to_Move
4.0,Rajasthan,Jodhpur,Locality_393,Property_Type,2.0,2741.0,300.29,0.11,1991.0,Furnished,21.0,26.0,34.0,5.0,7.0,High,Yes,Yes,"Playground, Clubhouse, Gym, Pool, Garden",North,Builder,Ready_to_Move
5.0,Rajasthan,Jaipur,Locality_466,Property_Type,4.0,4823.0,182.9,0.04,2002.0,Semi-furnished,3.0,2.0,23.0,4.0,9.0,Low,No,Yes,"Playground, Garden, Gym, Pool, Clubhouse",East,Builder,Ready_to_Move
6.0,West Bengal,Durgapur,Locality_246,Property_Type,4.0,3500.0,135.28,0.04,2020.0,Semi-furnished,27.0,1.0,5.0,7.0,7.0,Low,Yes,Yes,"Playground, Clubhouse",West,Broker,Ready_to_Move
7.0,Tamil Nadu,Coimbatore,Locality_254,Property_Type,3.0,4826.0,318.12,0.07,2016.0,Furnished,16.0,5.0,9.0,3.0,6.0,High,No,Yes,"Clubhouse, Garden, Playground",North,Builder,Under_Construction
8.0,Chhattisgarh,Bilaspur,Locality_490,Property_Type,5.0,4252.0,141.39,0.03,2021.0,Unfurnished,24.0,4.0,4.0,10.0,10.0,High,Yes,Yes,"Gym, Pool, Clubhouse, Playground",North,Builder,Under_Construction
9.0,Delhi,New Delhi,Locality_232,Property_Type,4.0,2678.0,189.16,0.07,2003.0,Semi-furnished,23.0,16.0,22.0,7.0,5.0,Low,No,Yes,"Garden, Clubhouse, Playground",South,Broker,Under_Construction
10.0,Jharkhand,Ranchi,Locality_122,Property_Type,2.0,1393.0,187.42,0.13,2011.0,Unfurnished,6.0,13.0,14.0,3.0,3.0,High,Yes,No,"Clubhouse, Playground, Garden, Gym",East,Owner,Ready_to_Move
11.0,Telangana,Warangal,Locality_75,Property_Type,1.0,665.0,324.24,0.49,1991.0,Semi-furnished,8.0,12.0,34.0,1.0,8.0,Low,No,Yes,Clubhouse,North,Broker,Under_Construction
12.0,Karnataka,Bangalore,Locality_462,Property_Type,5.0,3988.0,465.38,0.12,2022.0,Furnished,6.0,24.0,3.0,6.0,4.0,High,No,Yes,"Clubhouse, Pool, Playground, Gym",West,Broker,Ready_to_Move
13.0,Maharashtra,Nagpur,Locality_227,Property_Type,3.0,1976.0,486.29,0.25,2020.0,Semi-furnished,9.0,1.0,5.0,6.0,6.0,Medium,No,Yes,"Clubhouse, Gym, Playground, Pool",North,Builder,Ready_to_Move
14.0,Delhi,New Delhi,Locality_287,Property_Type,1.0,1369.0,309.82,0.23,2013.0,Unfurnished,13.0,4.0,12.0,10.0,6.0,Medium,No,No,"Clubhouse, Garden, Gym, Playground, Pool",South,Broker,Under_Construction
15.0,Uttar Pradesh,Lucknow,Locality_148,Property_Type,2.0,3852.0,77.62,0.02,2006.0,Semi-furnished,26.0,18.0,19.0,8.0,3.0,Medium,No,No,"Garden, Gym, Playground",East,Broker,Ready_to_Move
16.0,Rajasthan,Jaipur,Locality_369,Property_Type,1.0,2815.0,491.97,0.17,2015.0,Furnished,4.0,7.0,10.0,9.0,6.0,High,Yes,Yes,Playground,East,Owner,Under_Construction
